dv - | INFO flwr 2024-10-12 18:09:20,048 | server.py:178 | configure_evaluate: strategy sampled 43 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:09:23,088 | server.py:192 | aggregate_evaluate: received 43 results and 0 failures
dv - | INFO flwr 2024-10-12 18:09:23,089 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:09:23,090 | server.py:113 | [ROUND 23]
dv - | INFO flwr 2024-10-12 18:09:23,090 | server.py:226 | configure_fit: strategy sampled 53 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:09:35,150 | server.py:240 | aggregate_fit: received 53 results and 0 failures
dv - | INFO flwr 2024-10-12 18:09:35,201 | server.py:178 | configure_evaluate: strategy sampled 53 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:09:39,219 | server.py:192 | aggregate_evaluate: received 53 results and 0 failures
dv - | INFO flwr 2024-10-12 18:09:39,221 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:09:39,221 | server.py:113 | [ROUND 24]
dv - | INFO flwr 2024-10-12 18:09:39,222 | server.py:226 | configure_fit: strategy sampled 49 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:09:51,302 | server.py:240 | aggregate_fit: received 49 results and 0 failures
dv - | INFO flwr 2024-10-12 18:09:51,351 | server.py:178 | configure_evaluate: strategy sampled 49 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:09:55,365 | server.py:192 | aggregate_evaluate: received 49 results and 0 failures
dv - | INFO flwr 2024-10-12 18:09:55,366 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:09:55,367 | server.py:113 | [ROUND 25]
dv - | INFO flwr 2024-10-12 18:09:55,368 | server.py:226 | configure_fit: strategy sampled 42 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:10:05,396 | server.py:240 | aggregate_fit: received 42 results and 0 failures
dv - | INFO flwr 2024-10-12 18:10:05,443 | server.py:178 | configure_evaluate: strategy sampled 42 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:10:08,498 | server.py:192 | aggregate_evaluate: received 42 results and 0 failures
dv - | INFO flwr 2024-10-12 18:10:08,498 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:10:08,498 | server.py:113 | [ROUND 26]
dv - | INFO flwr 2024-10-12 18:10:08,499 | server.py:226 | configure_fit: strategy sampled 53 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:10:20,547 | server.py:240 | aggregate_fit: received 53 results and 0 failures
dv - | INFO flwr 2024-10-12 18:10:20,618 | server.py:178 | configure_evaluate: strategy sampled 53 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:10:24,644 | server.py:192 | aggregate_evaluate: received 53 results and 0 failures
dv - | INFO flwr 2024-10-12 18:10:24,645 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:10:24,645 | server.py:113 | [ROUND 27]
dv - | INFO flwr 2024-10-12 18:10:24,645 | server.py:226 | configure_fit: strategy sampled 43 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:10:33,705 | server.py:240 | aggregate_fit: received 43 results and 0 failures
dv - | INFO flwr 2024-10-12 18:10:33,761 | server.py:178 | configure_evaluate: strategy sampled 43 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:10:36,815 | server.py:192 | aggregate_evaluate: received 43 results and 0 failures
dv - | INFO flwr 2024-10-12 18:10:36,817 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:10:36,817 | server.py:113 | [ROUND 28]
dv - | INFO flwr 2024-10-12 18:10:36,818 | server.py:226 | configure_fit: strategy sampled 57 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:10:49,892 | server.py:240 | aggregate_fit: received 57 results and 0 failures
dv - | INFO flwr 2024-10-12 18:10:49,972 | server.py:178 | configure_evaluate: strategy sampled 57 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:10:54,016 | server.py:192 | aggregate_evaluate: received 57 results and 0 failures
dv - | INFO flwr 2024-10-12 18:10:54,017 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:10:54,017 | server.py:113 | [ROUND 29]
dv - | INFO flwr 2024-10-12 18:10:54,018 | server.py:226 | configure_fit: strategy sampled 58 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:11:08,121 | server.py:240 | aggregate_fit: received 58 results and 0 failures
dv - | INFO flwr 2024-10-12 18:11:08,172 | server.py:178 | configure_evaluate: strategy sampled 58 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:11:12,207 | server.py:192 | aggregate_evaluate: received 58 results and 0 failures
dv - | INFO flwr 2024-10-12 18:11:12,207 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:11:12,207 | server.py:113 | [ROUND 30]
dv - | INFO flwr 2024-10-12 18:11:12,208 | server.py:226 | configure_fit: strategy sampled 55 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:11:24,247 | server.py:240 | aggregate_fit: received 55 results and 0 failures
dv - | INFO flwr 2024-10-12 18:11:24,302 | server.py:178 | configure_evaluate: strategy sampled 55 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:11:28,344 | server.py:192 | aggregate_evaluate: received 55 results and 0 failures
dv - | INFO flwr 2024-10-12 18:11:28,345 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:11:28,345 | server.py:113 | [ROUND 31]
dv - | INFO flwr 2024-10-12 18:11:28,345 | server.py:226 | configure_fit: strategy sampled 45 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:11:38,408 | server.py:240 | aggregate_fit: received 45 results and 0 failures
dv - | INFO flwr 2024-10-12 18:11:38,445 | server.py:178 | configure_evaluate: strategy sampled 45 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:11:41,660 | server.py:192 | aggregate_evaluate: received 45 results and 0 failures
dv - | INFO flwr 2024-10-12 18:11:41,661 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:11:41,661 | server.py:113 | [ROUND 32]
dv - | INFO flwr 2024-10-12 18:11:41,661 | server.py:226 | configure_fit: strategy sampled 46 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:11:51,713 | server.py:240 | aggregate_fit: received 46 results and 0 failures
dv - | INFO flwr 2024-10-12 18:11:51,751 | server.py:178 | configure_evaluate: strategy sampled 46 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:11:54,825 | server.py:192 | aggregate_evaluate: received 46 results and 0 failures
dv - | INFO flwr 2024-10-12 18:11:54,826 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:11:54,826 | server.py:113 | [ROUND 33]
dv - | INFO flwr 2024-10-12 18:11:54,827 | server.py:226 | configure_fit: strategy sampled 46 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:12:05,881 | server.py:240 | aggregate_fit: received 46 results and 0 failures
dv - | INFO flwr 2024-10-12 18:12:05,935 | server.py:178 | configure_evaluate: strategy sampled 46 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:12:08,985 | server.py:192 | aggregate_evaluate: received 46 results and 0 failures
dv - | INFO flwr 2024-10-12 18:12:08,986 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:12:08,987 | server.py:113 | [ROUND 34]
dv - | INFO flwr 2024-10-12 18:12:08,987 | server.py:226 | configure_fit: strategy sampled 36 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:12:19,016 | server.py:240 | aggregate_fit: received 36 results and 0 failures
dv - | INFO flwr 2024-10-12 18:12:19,046 | server.py:178 | configure_evaluate: strategy sampled 36 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:12:22,064 | server.py:192 | aggregate_evaluate: received 36 results and 0 failures
dv - | INFO flwr 2024-10-12 18:12:22,065 | server.py:112 | 
dv - | INFO flwr 2024-10-12 18:12:22,065 | server.py:113 | [ROUND 35]
dv - | INFO flwr 2024-10-12 18:12:22,066 | server.py:226 | configure_fit: strategy sampled 51 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:12:33,112 | server.py:240 | aggregate_fit: received 51 results and 0 failures
dv - | INFO flwr 2024-10-12 18:12:33,154 | server.py:178 | configure_evaluate: strategy sampled 51 clients (out of 100)
dv - | INFO flwr 2024-10-12 18:12:37,171 | server.py:192 | aggregate_evaluate: received 51 results and 0 failures
