dv - | CRITICAL flwr 2024-09-11 13:46:32,943 | dvsaa_afl.py:162 | total num of rounds 20
dv - | ERROR flwr 2024-09-11 13:46:32,943 | dvsaa_afl.py:169 | CID_LIST ['503795445624714053', '-8936847233666666962', '-3914441494733611112', '1227754372335181873', '-2882069058387825482', '3290520909799058613', '3834905379212364310', '6527471679806967035']
dv - | ERROR flwr 2024-09-11 13:46:32,943 | dvsaa_afl.py:174 | FIT: GOOD CID LIST['1227754372335181873', '-3914441494733611112', '-8936847233666666962']
dv - | DEBUG flwr 2024-09-11 13:46:32,943 | dvsaa_afl.py:176 | sample size 3
dv - | INFO flwr 2024-09-11 13:46:32,943 | server.py:226 | configure_fit: strategy sampled 3 clients (out of 8)
dv - | INFO flwr 2024-09-11 13:46:39,010 | server.py:240 | aggregate_fit: received 3 results and 0 failures
dv - | CRITICAL flwr 2024-09-11 13:46:39,010 | dvsaa_afl.py:109 | num of clients in manager 8
dv - | ERROR flwr 2024-09-11 13:46:39,010 | dvsaa_afl.py:119 | FIT: GOOD CID LIST['-3914441494733611112', '-8936847233666666962', '1227754372335181873']
dv - | INFO flwr 2024-09-11 13:46:39,010 | server.py:178 | configure_evaluate: strategy sampled 3 clients (out of 8)
dv - | INFO flwr 2024-09-11 13:46:40,033 | server.py:192 | aggregate_evaluate: received 3 results and 0 failures
dv - | INFO flwr 2024-09-11 13:46:40,033 | server.py:112 | 
dv - | INFO flwr 2024-09-11 13:46:40,033 | server.py:113 | [ROUND 9]
dv - | CRITICAL flwr 2024-09-11 13:46:40,033 | dvsaa_afl.py:162 | total num of rounds 20
dv - | ERROR flwr 2024-09-11 13:46:40,033 | dvsaa_afl.py:169 | CID_LIST ['503795445624714053', '-8936847233666666962', '-3914441494733611112', '1227754372335181873', '-2882069058387825482', '3290520909799058613', '3834905379212364310', '6527471679806967035']
dv - | ERROR flwr 2024-09-11 13:46:40,033 | dvsaa_afl.py:174 | FIT: GOOD CID LIST['1227754372335181873', '6527471679806967035']
