dv - | INFO flwr 2024-10-14 15:32:49,201 | server.py:500 | 		round 22: 68.7722539274316
dv - | INFO flwr 2024-10-14 15:32:49,202 | server.py:500 | 		round 23: 60.12714288621495
dv - | INFO flwr 2024-10-14 15:32:49,202 | server.py:500 | 		round 24: 71.11561454383133
dv - | INFO flwr 2024-10-14 15:32:49,202 | server.py:500 | 		round 25: 77.85305295667318
dv - | INFO flwr 2024-10-14 15:32:49,203 | server.py:500 | 		round 26: 55.128859245211935
dv - | INFO flwr 2024-10-14 15:32:49,203 | server.py:500 | 		round 27: 60.03483527894133
dv - | INFO flwr 2024-10-14 15:32:49,204 | server.py:500 | 		round 28: 50.78975294206297
dv - | INFO flwr 2024-10-14 15:32:49,204 | server.py:500 | 		round 29: 25.952069074103708
dv - | INFO flwr 2024-10-14 15:32:49,205 | server.py:500 | 		round 30: 45.69492147259688
dv - | INFO flwr 2024-10-14 15:32:49,205 | server.py:500 | 	History (metrics, distributed, evaluate):
dv - | INFO flwr 2024-10-14 15:32:49,206 | server.py:500 | 	{'accuracy': [(1, 0.0985993775011116),
dv - | INFO flwr 2024-10-14 15:32:49,207 | server.py:500 | 	              (2, 0.21023198011599006),
dv - | INFO flwr 2024-10-14 15:32:49,207 | server.py:500 | 	              (3, 0.21420389461626574),
dv - | INFO flwr 2024-10-14 15:32:49,208 | server.py:500 | 	              (4, 0.16113028472821397),
dv - | INFO flwr 2024-10-14 15:32:49,209 | server.py:500 | 	              (5, 0.24381412190706095),
dv - | INFO flwr 2024-10-14 15:32:49,209 | server.py:500 | 	              (6, 0.20960415314730693),
dv - | INFO flwr 2024-10-14 15:32:49,210 | server.py:500 | 	              (7, 0.25146198830409355),
dv - | INFO flwr 2024-10-14 15:32:49,210 | server.py:500 | 	              (8, 0.35091496232508074),
dv - | INFO flwr 2024-10-14 15:32:49,210 | server.py:500 | 	              (9, 0.31868674401382374),
dv - | INFO flwr 2024-10-14 15:32:49,210 | server.py:500 | 	              (10, 0.2883512097779995),
